Identity;Vote_account;Active_stake
BUtFhK4wrFyuJx1iQFkw7fPnywvo1N7xtg29MmU9CxmT;2M1ZCZELsU6uaDc5KrFHiA8CRiB9DqNyJbXkMKrF6NLK;1806174.871
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT;8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW;1713776.6865
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf;7opSZGmevWhRDyLt5Wu38FZFjUyredGmMki4DNmxDnjd;1664413.7968
2Qig5xnzmQwqurLSyaUpyuRZmjuna5MDT9hn66nFZd4T;EK2kUM95LYivQkDH2k5Wh7VRss8GsR5DuxqrNrxcf4Fq;1649711.2905
DgwzRqBMbhjrXszuUQ177HTaGmzz6Aq3oUm4CD6bGai2;ASe5VJAvTWqPeZXaoKZFk23xzoD3SgXZk1JrkWQx3M1W;1611033.6229
3fpcsJ2WPdrmpjVVA5Lmv4m9Qx5xqND1xJhFprDSjWJ4;A3ahHFBFkPkuLMhxLGEnKVVZu2J6Qy8Z7z2zozyXGhw2;1587112.3162
EMoYzBCJgHexN2auwmj1tHbmURHJhgWbuZfGoYMernyA;7aw4NRLF7kdMFHW6e9VR7z6kwsp5e6GQUUKd9UJQxtU2;1555886.5125
2nDgb2py4cjHy8dxWGPUUR5641SSHCBEjnGGcuyqCKCh;5oMEJuodtg8tY7gQX3MHzGgwb242gjpxuVdnT71GD4uT;1537509.6779
stake˙fish ??;7VGU4ZwR1e1AFekqbqv2gvjeg47e1PwMPm4BfLt6rxNk;1451558.2177
2iGccofYbsAwg9GnxJA45iRNoGQfR4oYNjnptSzNx217;8d3VenzijrC639xcj4Cwii5rQMBggd81Zk4pDY1tLddi;1369432.0524
2av6anjHUwvpzhbCa9vAUEEybEHs9MSU6qw3pB3o6cC7;APsCdoetBykSA9USZ6gQ2YQYSrYBR7Z2M83mg5jG9AJi;1358692.5241
StakeWolf;DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f;1327651.4659
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL;HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH;1292174.3753
Ei8VLKR3chZAhJzWwj8PopeuedpQiths2ovVCQ2BCvK7;8RDsLp5kLZEt2swpKne8JuZAN6PFRX1ak29Hci2DT1Xa;1235900.1689
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS;AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX;1207979.3229
G7kTcjJkdf5jMaFxkTAexuCNBjrZFvt8ofp8BdFPwBaC;8NNXniLfoXLEGtopCE4M7uBg6JJ9hzHD5T8p1D6sAZRo;1199999.9974
ELVtbgZzDh6fCYsFRfarkt47tDmkqYqFX8eUNLG7fq9r;AEoQiGVBLoQUVy7c2qmKiKmYHNWZQHzoSBZp3G4sG8EB;1199999.9974
ATPHtHvsQuZm3gBgm7r9fhuXWgTPB9pr6ZLD6UbDYLTP;9DyyPH6J3hQAJUc5WHowAxK2wqNPjKY3GCeULaMfg1L2;1194384.4751
Chainode Tech;BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU;1189332.0766
FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp;7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8;1171225.5538
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA;AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t;1124441.2038
STaKesuXJH6UGRizuEVSWG1tyLu5ycKgWj3i1HUdvs5;2PEyBgsPYBQ8pMdXQtEaPGNqWQHE9GCnmV2tTVN4GMru;1117776.6687
Hr7bZkosETza1xtSRgmTr8DBSMMif9RPE4U49H7LXSNu;7YGvxJu1bp2X3hTctYRKEitkqpXDRSMsDo3LSZVNBXhv;1029222.9061
FzPoMxzQJRH87NVy1YJF8BqjrygzLLHz8MYjEZPhQHnL;EZDpkpqW2dn6aFme3HyRHmrvua7jYPiVJc6dyyT6mPxj;1005649.2397
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA;Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa;1000716.7
Legends;6W8yrMwtDU5G6ErazhZHfLjqZV8cMvajpSRGYgrZ3d4v;994205.3652
7wohoM4oWam7mRKEYCxU3xKoFf6Q7ft1wHqkfFrmaz7K;2A14qTTZmX8wo37TJAEoAovrdugMdrbf29mSCsDerd4d;991998.3743
ARgSemSL8KuwJrVMgbrgdAhdqTAwEkG9L9fBMD7zVX1y;6uYK58UwwbdqeQLxYWZBjqAnQNgKA49nv96mSY3qsi8d;957035.686
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN;8zHJtME22tiY3UsSHtDJXo2J8hUfwikBxXNbVqQzA92r;915756.8478
Blockdaemon ???? Validator;FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571;893655.5958
9MySck9qTMMPMUwFnh1rAYk6eStsBkUbKSBTnAeKmJXu;GmTownnqSF8zXE4Cy3ZP8daMBPDSc6PnYW6aJLzjwTkz;887295.074
3ab2iWqdSjyaVVrPTJXRR9e9orqK4AMCrnc5EMEHGu2e;AEf73zebQDu19NGW8R4G8HSoNos2cJe8n3Q1sRTh6XvV;866871.8248
722RdWmHC5TGXBjTejzNjbc8xEiduVDLqZvoUGz6Xzbp;EXhYxF25PJEHb3v5G1HY8Jn8Jm7bRjJtaxEghGrUuhQw;851470.0081
GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5;7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm;846177.757
4o27cX8MsYmyzbYq9V5a2aMTW6eC4wxonVfkik6xGYHD;Er5zuVZSrv8hwWo3gUt2XWDwTSLUhgYD64gidQKJ7G7q;843048.6467
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh;Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj;840426.2753
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM;5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx;825470.2898
5dgjNR6Ru9VbmhJBSeWmQm17VSEYcstgQini429ePEyG;G2pFiYziSkjGTvfNGnHhFCG5TMgZHQQLfi3VdxuLfL2C;822378.7151
MCF;2het6nBRLq9LLZER8fqUEk7j5pbLxq2mVGqSse2nS3tf;779424.5804
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6;juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx;765960.1783
2fFev6gBMMzfUzbSdVnnSzNXG9W9iZ9UNZuWpPKJKKjC;7ikNtivRm2EDHQtnheqSnxkbNvRxMgtmthEAG84V8AEf;757378.2269
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn;3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW;749460.0474
Low Fee Validation;edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT;721249.0135
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH;5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv;711260.0951
