Node;Stake;;;247424142.6
NodeID-4CL8XnuYqfVVLxRre5C5A1dpRv3cZN2Zs;944714.26;;;
NodeID-LydNf31SmNLztbKL7iNsHXPhnKxz7g3Cw;898446.35;;;
NodeID-AwmHrKdtkhnuEVY5TvbwxVksQ8dWd4a1P;892569.7;;;
NodeID-RSzGBBq5w69Gh14hRTVUQ3AR2WnErtGq;882121.26;;;
(Genesis Entities) / 005;877693.23;;;
(Genesis Entities) / 042;872525.1;;;
NodeID-GjYkDpBkCueF4vTkZVdtq3yFiMJha2XpF;863638.95;;;
NodeID-793wJG3RHeLFVCXkNTQxsM1pSUHNyDyMv;861582.39;;;
NodeID-Fe3121hoArBshDTJEEeMeJTNW6HcLXxT1;824253.43;;;
NodeID-2hoNSdthtVU9RE6g4VJ7Y6tGdWm3s1PKN;806730.55;;;
NodeID-Eo31HyvvA1Madeagm6U8CM376cEfgS4Bj;792000;;;
NodeID-HuPCfRaLN2cXoXDYyi8GYvjATLDmNJMHs;789473.68;;;
NodeID-KGYVGbz1pbyuJpujtJAkXhSY3AtLqBG2Z;781957.73;;;
NodeID-KXuvoHe9KgzW6KfVNHXW4CUNunzWDDC4M;776653.02;;;
(Genesis Entities) / 025;768000.57;;;
NodeID-vV5S1LUtAxCWq9ASiDSjZpX88y2WcFGM;726000;;;
(Genesis Entities) / 033;723398.65;;;
Allnodes / Tranquil Grizzly;721513.76;;;
NodeID-3Kw1H4pXQpmik4wfkjeMxdhrUxAkdq753;710858.23;;;
NodeID-4cuTK1XYjm1VMTitd4MPBcwZ7LYyiqjfd;708103.94;;;
NodeID-LxrJtyQXpdweZH7LR3ujcEQZJ9VDTW3tC;707536.42;;;
NodeID-9eH3Zu7LN7kNwvUy3Am8mkgvvekrkxD6d;702553.39;;;
NodeID-JPvThCax26E5wEh4HSpjhfbfGn8LnvGx8;693000;;;
NodeID-49LTjmBTcdjMyD33u7gKkfREPqEhhfPaj;692430.65;;;
NodeID-PVm9UudEC7N6HJ3jus5KJ1Rufck88g1Dt;680026.42;;;
NodeID-Nz93c8UB78eEVVtfxpcecxHmiy2gZ4iAi;671700.61;;;
NodeID-6AXAfsfvp25QX5Tff6Ag6ERLXQ577wurM;660000;;;
NodeID-3iXKmHPAMgJa7z7pGcPpMC6pAmx8fjM1q;660000;;;
(Genesis Entities) / 007;651485.29;;;
NodeID-6Aed6k5Zj6vffgNdvr29Z9VcdDxk5PoMq;642505.18;;;
NodeID-9S8duheEvrp7gKW4qLLrWVCnC2wvo39w8;630082.5;;;
NodeID-9iGXJ935QZWkp5j2v6KNSTr8b45a7Xbfs;627000;;;
NodeID-9tJaF6mjrwczuEZk3oQRJsB2AzPk7QFHn;600850.83;;;
NodeID-EmRTfxEKTLpzTyWJmYTXVxyGr79bsv4Bp;588273.4;;;
NodeID-7hQFksPPW1Y5hZukNcQn6bTQjuTZPnj42;587546.8;;;
NodeID-QCkFTaWJg5ixVhZoNbePxzs9HWrTutVy4;585071.97;;;
NodeID-BHPTN8HM5xA9HNiwUPceNa314kh3YnDpp;581396.31;;;
NodeID-EPqYJkZ7knGWY2TNe4rxRtNgkqc6spyDC;552831.65;;;
(Genesis Entities) / 101;546054.19;;;
NodeID-77kWbGy45j1Scbvgh5z3zhoUBL1S3qjAi;545518.34;;;
NodeID-Q5rNbr5yFwotdbeRPGeTagHP1hbHYuaJg;541672.23;;;
NodeID-PYecKsWbPTayLsHDdopKjB1Mw5NP3kDUJ;537157.75;;;
NodeID-HRZAiPM3BaZJpAq9jy3UME2EGsrv1ZMaa;531544.87;;;
NodeID-7t5yL3rJ5JgME7vxa8em5sUNTPeYfmMop;527571.88;;;
(Genesis Entities) / 002;527475.61;;;
NodeID-7khC7aRLU5i5FhYcsxT9rLkRGYWRQL1p3;519418.8;;;
NodeID-Ds3ri3EksrtyjtAJ3RbX8Wku19LRdKTti;508189.82;;;
NodeID-EaEUnvUyfTr19uMW8g51bvFXfi7r9xL1W;507713.29;;;
(Genesis Entities) / 035;497177.91;;;
NodeID-5zENHPe3oP2SdU13oTAvxZA2cEupejYhD;496775.96;;;
NodeID-6rJMJqgEbTGJCv3hBzDaY3axQ3Fq98yFX;495000;;;
