Pools;Stake;Share
Single 1927;3045685;0.01
Single 1928;3045685;0.01
Single 1929;3045685;0.01
Single 1930;3045685;0.01
Single 1931;3045685;0.01
Single 1932;3045685;0.01
Single 1933;3045685;0.01
Single 1934;3045685;0.01
Single 1935;3045685;0.01
Single 1936;3045685;0.01
Single 1937;3045685;0.01
Single 1938;3045685;0.01
Single 1939;3045685;0.01
Single 1940;3045685;0.01
Single 1941;3045685;0.01
Single 1942;3045685;0.01
Single 1943;3045685;0.01
Single 1944;3045685;0.01
Single 1945;3045685;0.01
Single 1946;3045685;0.01
Single 1947;3045685;0.01
Single 1948;3045685;0.01
Single 1949;3045685;0.01
Single 1950;3045685;0.01
Single 1951;3045685;0.01
Single 1952;3045685;0.01
Single 1953;3045685;0.01
Single 1954;3045685;0.01
Single 1955;3045685;0.01
Single 1956;3045685;0.01
Single 1957;3045685;0.01
Single 1958;3045685;0.01
Single 1959;3045685;0.01
Single 1960;3045685;0.01
Single 1961;3045685;0.01
Single 1962;3045685;0.01
Single 1963;3045685;0.01
Single 1964;3045685;0.01
Single 1965;3045685;0.01
Single 1966;3045685;0.01
Single 1967;3045685;0.01
Single 1968;3045685;0.01
Single 1969;3045685;0.01
Single 1970;3045685;0.01
