Pools;Stake;Share
Single 417;3045685;0.01
Single 418;3045685;0.01
Single 419;3045685;0.01
Single 420;3045685;0.01
Single 421;3045685;0.01
Single 422;3045685;0.01
Single 423;3045685;0.01
Single 424;3045685;0.01
Single 425;3045685;0.01
Single 426;3045685;0.01
Single 427;3045685;0.01
Single 428;3045685;0.01
Single 429;3045685;0.01
Single 430;3045685;0.01
Single 431;3045685;0.01
Single 432;3045685;0.01
Single 433;3045685;0.01
Single 434;3045685;0.01
Single 435;3045685;0.01
Single 436;3045685;0.01
Single 437;3045685;0.01
Single 438;3045685;0.01
Single 439;3045685;0.01
Single 440;3045685;0.01
Single 441;3045685;0.01
Single 442;3045685;0.01
Single 443;3045685;0.01
Single 444;3045685;0.01
Single 445;3045685;0.01
Single 446;3045685;0.01
Single 447;3045685;0.01
Single 448;3045685;0.01
Single 449;3045685;0.01
Single 450;3045685;0.01
Single 451;3045685;0.01
Single 452;3045685;0.01
Single 453;3045685;0.01
Single 454;3045685;0.01
Single 455;3045685;0.01
Single 456;3045685;0.01
Single 457;3045685;0.01
Single 458;3045685;0.01
Single 459;3045685;0.01
Single 460;3045685;0.01
Single 461;3045685;0.01
Single 462;3045685;0.01
Single 463;3045685;0.01
Single 464;3045685;0.01
Single 465;3045685;0.01
Single 466;3045685;0.01
Single 467;3045685;0.01
Single 468;3045685;0.01
Single 469;3045685;0.01
Single 470;3045685;0.01
Single 471;3045685;0.01
Single 472;3045685;0.01
Single 473;3045685;0.01
Single 474;3045685;0.01
Single 475;3045685;0.01
Single 476;3045685;0.01
Single 477;3045685;0.01
Single 478;3045685;0.01
Single 479;3045685;0.01
Single 480;3045685;0.01
Single 481;3045685;0.01
Single 482;3045685;0.01
Single 483;3045685;0.01
Single 484;3045685;0.01
Single 485;3045685;0.01
Single 486;3045685;0.01
Single 487;3045685;0.01
Single 488;3045685;0.01
Single 489;3045685;0.01
Single 490;3045685;0.01
Single 491;3045685;0.01
Single 492;3045685;0.01
Single 493;3045685;0.01
Single 494;3045685;0.01
Single 495;3045685;0.01
Single 496;3045685;0.01
Single 497;3045685;0.01
Single 498;3045685;0.01
Single 499;3045685;0.01
Single 500;3045685;0.01
Single 501;3045685;0.01
Single 502;3045685;0.01
Single 503;3045685;0.01
Single 504;3045685;0.01
Single 505;3045685;0.01
Single 506;3045685;0.01
Single 507;3045685;0.01
Single 508;3045685;0.01
Single 509;3045685;0.01
Single 510;3045685;0.01
Single 511;3045685;0.01
Single 512;3045685;0.01
Single 513;3045685;0.01
Single 514;3045685;0.01
Single 515;3045685;0.01
Single 516;3045685;0.01
Single 517;3045685;0.01
Single 518;3045685;0.01
Single 519;3045685;0.01
Single 520;3045685;0.01
Single 521;3045685;0.01
Single 522;3045685;0.01
Single 523;3045685;0.01
Single 524;3045685;0.01
Single 525;3045685;0.01
Single 526;3045685;0.01
Single 527;3045685;0.01
Single 528;3045685;0.01
Single 529;3045685;0.01
Single 530;3045685;0.01
Single 531;3045685;0.01
Single 532;3045685;0.01
Single 533;3045685;0.01
Single 534;3045685;0.01
Single 535;3045685;0.01
Single 536;3045685;0.01
Single 537;3045685;0.01
Single 538;3045685;0.01
Single 539;3045685;0.01
Single 540;3045685;0.01
Single 541;3045685;0.01
Single 542;3045685;0.01
Single 543;3045685;0.01
Single 544;3045685;0.01
Single 545;3045685;0.01
Single 546;3045685;0.01
Single 547;3045685;0.01
Single 548;3045685;0.01
Single 549;3045685;0.01
Single 550;3045685;0.01
Single 551;3045685;0.01
Single 552;3045685;0.01
Single 553;3045685;0.01
Single 554;3045685;0.01
Single 555;3045685;0.01
Single 556;3045685;0.01
Single 557;3045685;0.01
Single 558;3045685;0.01
Single 559;3045685;0.01
Single 560;3045685;0.01
Single 561;3045685;0.01
Single 562;3045685;0.01
Single 563;3045685;0.01
Single 564;3045685;0.01
Single 565;3045685;0.01
Single 566;3045685;0.01
Single 567;3045685;0.01
Single 568;3045685;0.01
Single 569;3045685;0.01
Single 570;3045685;0.01
Single 571;3045685;0.01
Single 572;3045685;0.01
Single 573;3045685;0.01
Single 574;3045685;0.01
Single 575;3045685;0.01
Single 576;3045685;0.01
Single 577;3045685;0.01
Single 578;3045685;0.01
Single 579;3045685;0.01
Single 580;3045685;0.01
Single 581;3045685;0.01
Single 582;3045685;0.01
Single 583;3045685;0.01
Single 584;3045685;0.01
Single 585;3045685;0.01
Single 586;3045685;0.01
Single 587;3045685;0.01
Single 588;3045685;0.01
Single 589;3045685;0.01
Single 590;3045685;0.01
Single 591;3045685;0.01
Single 592;3045685;0.01
Single 593;3045685;0.01
Single 594;3045685;0.01
Single 595;3045685;0.01
Single 596;3045685;0.01
Single 597;3045685;0.01
Single 598;3045685;0.01
Single 599;3045685;0.01
Single 600;3045685;0.01
Single 601;3045685;0.01
Single 602;3045685;0.01
Single 603;3045685;0.01
Single 604;3045685;0.01
Single 605;3045685;0.01
Single 606;3045685;0.01
Single 607;3045685;0.01
Single 608;3045685;0.01
Single 609;3045685;0.01
Single 610;3045685;0.01
Single 611;3045685;0.01
Single 612;3045685;0.01
Single 613;3045685;0.01
Single 614;3045685;0.01
Single 615;3045685;0.01
Single 616;3045685;0.01
Single 617;3045685;0.01
Single 618;3045685;0.01
Single 619;3045685;0.01
Single 620;3045685;0.01
Single 621;3045685;0.01
Single 622;3045685;0.01
Single 623;3045685;0.01
Single 624;3045685;0.01
Single 625;3045685;0.01
Single 626;3045685;0.01
Single 627;3045685;0.01
Single 628;3045685;0.01
Single 629;3045685;0.01
Single 630;3045685;0.01
Single 631;3045685;0.01
Single 632;3045685;0.01
Single 633;3045685;0.01
Single 634;3045685;0.01
Single 635;3045685;0.01
Single 636;3045685;0.01
Single 637;3045685;0.01
Single 638;3045685;0.01
Single 639;3045685;0.01
Single 640;3045685;0.01
Single 641;3045685;0.01
Single 642;3045685;0.01
Single 643;3045685;0.01
Single 644;3045685;0.01
Single 645;3045685;0.01
Single 646;3045685;0.01
Single 647;3045685;0.01
Single 648;3045685;0.01
Single 649;3045685;0.01
Single 650;3045685;0.01
Single 651;3045685;0.01
Single 652;3045685;0.01
Single 653;3045685;0.01
Single 654;3045685;0.01
Single 655;3045685;0.01
Single 656;3045685;0.01
Single 657;3045685;0.01
Single 658;3045685;0.01
Single 659;3045685;0.01
Single 660;3045685;0.01
Single 661;3045685;0.01
Single 662;3045685;0.01
Single 663;3045685;0.01
Single 664;3045685;0.01
Single 665;3045685;0.01
Single 666;3045685;0.01
Single 667;3045685;0.01
Single 668;3045685;0.01
Single 669;3045685;0.01
Single 670;3045685;0.01
Single 671;3045685;0.01
Single 672;3045685;0.01
Single 673;3045685;0.01
Single 674;3045685;0.01
Single 675;3045685;0.01
Single 676;3045685;0.01
Single 677;3045685;0.01
Single 678;3045685;0.01
Single 679;3045685;0.01
Single 680;3045685;0.01
Single 681;3045685;0.01
Single 682;3045685;0.01
Single 683;3045685;0.01
Single 684;3045685;0.01
Single 685;3045685;0.01
Single 686;3045685;0.01
Single 687;3045685;0.01
Single 688;3045685;0.01
Single 689;3045685;0.01
Single 690;3045685;0.01
Single 691;3045685;0.01
Single 692;3045685;0.01
Single 693;3045685;0.01
Single 694;3045685;0.01
Single 695;3045685;0.01
Single 696;3045685;0.01
Single 697;3045685;0.01
Single 698;3045685;0.01
Single 699;3045685;0.01
Single 700;3045685;0.01
Single 701;3045685;0.01
Single 702;3045685;0.01
Single 703;3045685;0.01
Single 704;3045685;0.01
Single 705;3045685;0.01
Single 706;3045685;0.01
Single 707;3045685;0.01
Single 708;3045685;0.01
Single 709;3045685;0.01
Single 710;3045685;0.01
Single 711;3045685;0.01
Single 712;3045685;0.01
Single 713;3045685;0.01
Single 714;3045685;0.01
Single 715;3045685;0.01
Single 716;3045685;0.01
Single 717;3045685;0.01
Single 718;3045685;0.01
Single 719;3045685;0.01
Single 720;3045685;0.01
Single 721;3045685;0.01
Single 722;3045685;0.01
Single 723;3045685;0.01
Single 724;3045685;0.01
Single 725;3045685;0.01
Single 726;3045685;0.01
Single 727;3045685;0.01
Single 728;3045685;0.01
Single 729;3045685;0.01
Single 730;3045685;0.01
Single 731;3045685;0.01
Single 732;3045685;0.01
Single 733;3045685;0.01
Single 734;3045685;0.01
Single 735;3045685;0.01
Single 736;3045685;0.01
Single 737;3045685;0.01
Single 738;3045685;0.01
Single 739;3045685;0.01
Single 740;3045685;0.01
Single 741;3045685;0.01
Single 742;3045685;0.01
Single 743;3045685;0.01
Single 744;3045685;0.01
Single 745;3045685;0.01
Single 746;3045685;0.01
Single 747;3045685;0.01
Single 748;3045685;0.01
Single 749;3045685;0.01
Single 750;3045685;0.01
Single 751;3045685;0.01
Single 752;3045685;0.01
Single 753;3045685;0.01
Single 754;3045685;0.01
Single 755;3045685;0.01
Single 756;3045685;0.01
Single 757;3045685;0.01
Single 758;3045685;0.01
Single 759;3045685;0.01
Single 760;3045685;0.01
Single 761;3045685;0.01
Single 762;3045685;0.01
Single 763;3045685;0.01
Single 764;3045685;0.01
Single 765;3045685;0.01
Single 766;3045685;0.01
Single 767;3045685;0.01
Single 768;3045685;0.01
Single 769;3045685;0.01
Single 770;3045685;0.01
Single 771;3045685;0.01
Single 772;3045685;0.01
Single 773;3045685;0.01
Single 774;3045685;0.01
Single 775;3045685;0.01
Single 776;3045685;0.01
Single 777;3045685;0.01
Single 778;3045685;0.01
Single 779;3045685;0.01
Single 780;3045685;0.01
Single 781;3045685;0.01
Single 782;3045685;0.01
Single 783;3045685;0.01
Single 784;3045685;0.01
Single 785;3045685;0.01
Single 786;3045685;0.01
Single 787;3045685;0.01
Single 788;3045685;0.01
Single 789;3045685;0.01
Single 790;3045685;0.01
Single 791;3045685;0.01
Single 792;3045685;0.01
Single 793;3045685;0.01
Single 794;3045685;0.01
Single 795;3045685;0.01
Single 796;3045685;0.01
Single 797;3045685;0.01
Single 798;3045685;0.01
Single 799;3045685;0.01
Single 800;3045685;0.01
Single 801;3045685;0.01
Single 802;3045685;0.01
Single 803;3045685;0.01
Single 804;3045685;0.01
Single 805;3045685;0.01
Single 806;3045685;0.01
Single 807;3045685;0.01
Single 808;3045685;0.01
Single 809;3045685;0.01
Single 810;3045685;0.01
Single 811;3045685;0.01
Single 812;3045685;0.01
Single 813;3045685;0.01
Single 814;3045685;0.01
Single 815;3045685;0.01
Single 816;3045685;0.01
Single 817;3045685;0.01
Single 818;3045685;0.01
Single 819;3045685;0.01
Single 820;3045685;0.01
Single 821;3045685;0.01
Single 822;3045685;0.01
Single 823;3045685;0.01
